id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
108559,Male,39,1,7,1,1-2 Year,No,41484,124,121,0
30785,Female,26,1,36,1,< 1 Year,No,27872,152,271,0
354564,Male,40,1,28,0,1-2 Year,Yes,36833,124,62,0
237570,Female,42,1,28,0,1-2 Year,Yes,27193,124,100,0
64259,Male,50,1,1,0,> 2 Years,Yes,2630,124,201,0
224616,Male,45,1,41,0,1-2 Year,Yes,2630,12,177,0
141477,Female,44,1,28,1,1-2 Year,No,21572,26,284,0
46419,Male,21,1,15,0,< 1 Year,Yes,29699,152,76,0
298035,Male,34,1,28,1,< 1 Year,Yes,64244,26,176,0
28219,Female,52,1,28,0,1-2 Year,Yes,50486,154,229,0
160105,Female,21,1,8,1,< 1 Year,No,47232,160,194,0
212171,Male,51,1,28,0,1-2 Year,Yes,53263,26,148,0
182323,Female,80,1,28,0,1-2 Year,Yes,58977,122,150,0
303429,Male,58,1,28,0,1-2 Year,Yes,34941,26,193,0
289501,Male,26,1,28,1,< 1 Year,No,47439,152,53,0
376112,Male,50,1,28,0,1-2 Year,Yes,43622,125,189,0
7398,Female,50,1,46,0,1-2 Year,No,23530,124,223,0
226408,Female,28,1,6,1,< 1 Year,No,24880,152,223,0
260752,Female,27,1,46,1,< 1 Year,No,28096,152,280,0
131317,Female,53,1,28,0,> 2 Years,Yes,22054,155,145,0
27638,Male,64,1,28,0,1-2 Year,Yes,2630,124,73,0
33620,Female,22,1,29,1,< 1 Year,No,33946,152,113,0
107646,Male,34,1,35,0,1-2 Year,Yes,2630,156,287,0
224559,Female,40,1,18,0,1-2 Year,Yes,2630,157,56,1
49805,Male,59,1,7,1,1-2 Year,Yes,2630,26,200,0
57963,Female,23,1,15,0,< 1 Year,Yes,30112,152,90,0
92958,Male,29,1,15,1,< 1 Year,No,34968,152,130,0
42226,Female,25,1,29,0,< 1 Year,Yes,2630,152,248,1
362165,Male,26,1,15,1,< 1 Year,No,35782,152,100,0
95548,Female,48,1,28,1,1-2 Year,Yes,41863,26,294,0
120932,Male,54,1,3,0,1-2 Year,Yes,25363,26,56,0
169132,Female,24,1,27,0,< 1 Year,Yes,26974,152,71,0
257274,Male,23,1,45,1,< 1 Year,No,32431,151,157,0
201713,Male,29,1,28,0,< 1 Year,No,39864,152,281,0
301131,Female,64,1,28,0,> 2 Years,Yes,70132,26,226,1
290564,Male,46,1,28,0,1-2 Year,No,41479,26,197,0
139892,Male,47,1,28,0,1-2 Year,Yes,36161,26,17,0
124354,Female,27,1,36,0,< 1 Year,Yes,31525,152,119,0
275345,Male,38,1,23,0,1-2 Year,Yes,42793,26,77,1
72787,Female,26,1,44,0,< 1 Year,Yes,30283,152,129,0
135554,Male,23,1,8,1,< 1 Year,No,33624,152,160,0
189207,Male,50,1,28,0,1-2 Year,Yes,33696,122,159,0
273933,Male,24,1,15,1,< 1 Year,No,55371,152,14,0
375059,Male,54,1,28,0,1-2 Year,Yes,29257,47,139,0
316286,Female,41,1,28,0,1-2 Year,Yes,28805,26,70,1
303777,Male,52,1,46,0,1-2 Year,Yes,25346,90,114,0
264699,Male,61,1,43,0,1-2 Year,Yes,40952,124,201,0
92638,Male,27,1,26,0,< 1 Year,Yes,31428,152,80,0
279786,Male,23,1,29,1,< 1 Year,No,40932,152,106,0
138120,Male,28,1,6,1,< 1 Year,No,25719,152,22,0
162446,Female,25,1,15,0,< 1 Year,Yes,34280,152,184,0
307768,Female,42,1,8,0,1-2 Year,Yes,45581,124,42,0
80507,Male,39,1,12,0,1-2 Year,Yes,2630,156,233,0
26432,Male,37,1,41,0,1-2 Year,Yes,53865,55,137,0
37814,Female,29,1,7,0,< 1 Year,Yes,2630,26,148,1
243989,Male,63,1,28,0,1-2 Year,Yes,61900,124,193,0
242142,Female,23,1,21,1,< 1 Year,No,43706,152,273,0
22802,Female,42,1,8,0,1-2 Year,Yes,76012,124,216,0
207720,Female,25,1,21,1,< 1 Year,No,24502,152,33,0
324694,Female,45,1,28,1,1-2 Year,No,40192,124,278,0
352111,Female,25,1,15,1,< 1 Year,No,27642,152,229,0
234204,Female,31,1,28,0,< 1 Year,Yes,38393,152,223,0
325905,Male,66,1,28,0,> 2 Years,Yes,39872,26,55,0
118373,Male,24,1,29,1,< 1 Year,No,44622,152,222,0
244402,Male,52,1,8,1,1-2 Year,No,29893,124,22,0
31608,Male,56,1,28,0,> 2 Years,Yes,50919,26,171,1
51727,Female,70,1,46,0,1-2 Year,Yes,22491,124,262,0
48489,Female,52,1,28,0,1-2 Year,Yes,52769,26,244,0
265145,Male,41,1,8,0,1-2 Year,Yes,2630,26,290,0
118458,Male,51,1,35,0,1-2 Year,Yes,29196,124,65,1
297740,Female,68,1,11,0,1-2 Year,Yes,30695,124,94,0
82951,Male,26,1,28,1,< 1 Year,No,50548,152,117,0
25832,Female,22,1,2,0,< 1 Year,Yes,36170,152,69,0
94211,Male,59,1,4,0,1-2 Year,Yes,34115,26,63,0
15940,Male,48,1,46,1,1-2 Year,No,28257,26,283,0
100588,Male,24,1,11,0,< 1 Year,Yes,49839,152,222,0
330241,Male,56,1,29,0,1-2 Year,Yes,31689,124,31,1
31541,Male,24,1,30,1,< 1 Year,No,30429,152,273,0
184494,Male,59,1,28,0,1-2 Year,Yes,42855,26,117,0
203012,Male,41,1,35,0,1-2 Year,Yes,26635,3,197,0
374656,Male,67,1,28,0,1-2 Year,Yes,39074,124,271,0
88866,Female,26,1,46,0,< 1 Year,Yes,27151,152,60,0
64595,Male,36,1,45,0,1-2 Year,No,21246,26,10,0
190116,Male,32,1,41,0,1-2 Year,Yes,2630,163,89,0
339216,Male,21,1,47,1,< 1 Year,Yes,2630,160,49,0
194761,Male,38,1,28,0,1-2 Year,Yes,39708,26,206,1
72113,Male,24,1,50,0,< 1 Year,Yes,29400,152,201,0
71410,Female,51,1,28,0,1-2 Year,Yes,2630,156,126,0
344275,Male,48,1,28,0,1-2 Year,Yes,2630,26,258,0
215698,Female,35,1,2,1,1-2 Year,No,2630,124,173,0
103136,Male,55,1,8,1,1-2 Year,No,41567,26,75,0
350960,Male,77,1,28,0,1-2 Year,Yes,27673,26,100,0
98405,Female,44,1,28,1,1-2 Year,No,33880,124,179,0
61179,Female,26,1,8,1,< 1 Year,No,42164,152,299,0
175509,Male,20,1,3,1,< 1 Year,No,22564,160,209,0
248077,Male,56,1,35,0,1-2 Year,Yes,2630,124,163,1
121413,Male,67,1,28,1,1-2 Year,No,61371,26,44,0
146363,Male,66,1,39,0,1-2 Year,Yes,42697,26,121,0
345230,Female,24,1,28,0,< 1 Year,Yes,22201,152,12,0
196825,Male,44,1,15,0,1-2 Year,Yes,34931,160,289,0
9330,Female,23,1,46,1,< 1 Year,No,25714,152,153,0
67934,Male,75,1,33,0,> 2 Years,Yes,30151,26,129,0
31718,Male,40,1,26,0,1-2 Year,Yes,2630,156,19,1
274302,Male,36,1,28,0,1-2 Year,No,37569,124,25,0
341690,Female,25,1,33,1,< 1 Year,No,26914,152,158,0
358948,Male,46,1,8,0,1-2 Year,Yes,47464,124,265,0
51305,Male,41,1,28,1,1-2 Year,No,42115,122,238,0
203861,Male,53,1,38,0,1-2 Year,No,31501,154,132,0
328843,Female,50,1,28,1,1-2 Year,No,56871,55,253,0
33096,Female,24,1,8,1,< 1 Year,No,32657,152,187,0
77685,Male,51,1,3,0,1-2 Year,Yes,35326,124,59,0
66008,Female,27,1,7,1,< 1 Year,No,2630,160,229,0
221305,Male,43,1,36,0,1-2 Year,Yes,30864,124,100,1
35955,Male,24,1,9,1,< 1 Year,No,30389,152,133,0
342833,Male,44,1,28,1,1-2 Year,No,56988,124,271,0
132432,Female,35,1,21,0,1-2 Year,Yes,2630,124,298,1
158644,Female,45,1,28,1,1-2 Year,No,93367,124,66,0
329218,Female,26,1,15,1,< 1 Year,No,29223,152,250,0
1783,Male,24,1,14,1,< 1 Year,No,2630,152,222,0
35560,Female,40,1,50,1,1-2 Year,No,21971,152,158,0
215064,Male,55,1,6,0,1-2 Year,Yes,22048,26,236,1
58178,Female,52,1,28,1,1-2 Year,No,32076,124,147,0
305734,Female,21,1,5,0,< 1 Year,Yes,25539,160,167,1
286439,Male,59,1,8,1,1-2 Year,No,32408,26,287,0
319081,Female,25,1,28,1,< 1 Year,No,60473,152,241,0
371226,Female,25,1,40,1,< 1 Year,No,32387,152,162,0
43691,Female,31,1,10,0,< 1 Year,Yes,29003,124,193,1
263771,Male,30,1,8,1,< 1 Year,No,40228,152,47,0
326626,Male,24,1,8,1,1-2 Year,No,36321,26,22,0
227701,Male,24,1,45,0,< 1 Year,Yes,33226,152,179,1
325148,Female,78,1,46,0,1-2 Year,Yes,33586,11,299,0
276005,Female,36,1,32,0,1-2 Year,Yes,2630,26,212,1
182127,Female,31,1,41,0,< 1 Year,Yes,30632,154,282,0
208706,Female,27,1,6,0,< 1 Year,Yes,2630,163,154,1
65500,Female,40,1,46,0,1-2 Year,Yes,30092,152,177,0
313557,Male,54,1,8,0,1-2 Year,Yes,43648,124,225,1
108665,Female,71,1,28,1,1-2 Year,No,50609,26,115,0
30545,Male,46,1,11,1,1-2 Year,No,42085,124,296,0
265363,Male,46,1,28,0,1-2 Year,Yes,49838,26,88,1
64315,Female,38,1,6,0,1-2 Year,Yes,31551,124,246,0
144725,Male,44,1,41,0,1-2 Year,Yes,35035,26,299,1
128883,Female,45,1,41,1,1-2 Year,No,30722,124,234,0
182268,Female,23,1,10,1,< 1 Year,No,44359,152,265,0
189707,Female,41,1,10,0,1-2 Year,Yes,34816,124,267,0
218862,Male,23,1,43,1,< 1 Year,No,37596,152,43,0
6063,Male,44,1,28,1,1-2 Year,No,37243,124,267,0
231784,Female,29,1,47,0,< 1 Year,No,34868,152,235,0
47561,Male,24,1,28,0,1-2 Year,Yes,53320,26,120,0
369068,Female,23,1,8,0,< 1 Year,Yes,44101,152,88,0
304857,Male,69,1,28,0,1-2 Year,Yes,34122,26,283,0
158237,Female,49,1,30,0,1-2 Year,Yes,2630,157,263,0
323456,Male,25,1,29,1,< 1 Year,No,30180,152,231,0
107592,Female,77,1,28,0,1-2 Year,Yes,63215,26,62,0
335057,Male,53,1,41,0,1-2 Year,Yes,34324,124,109,0
232516,Male,34,1,28,0,< 1 Year,No,2630,1,112,0
288461,Female,24,1,44,1,< 1 Year,No,2630,160,205,0
294833,Female,49,1,28,0,1-2 Year,No,41914,124,223,0
291131,Female,28,1,28,1,< 1 Year,No,43131,152,15,0
168227,Female,47,1,27,0,1-2 Year,Yes,29599,124,266,1
298032,Female,23,1,10,0,< 1 Year,Yes,27276,152,146,0
256430,Male,49,1,28,0,1-2 Year,Yes,43019,26,202,0
33889,Male,22,1,29,1,< 1 Year,No,34988,152,187,0
241400,Male,23,1,6,1,< 1 Year,No,22655,152,186,0
208905,Male,39,1,8,1,1-2 Year,No,45862,26,116,0
127082,Female,26,1,48,0,< 1 Year,Yes,2630,152,277,0
86074,Female,23,1,26,0,< 1 Year,Yes,29523,152,33,0
183963,Female,22,1,28,0,< 1 Year,Yes,47634,124,110,0
54375,Male,48,1,28,0,1-2 Year,Yes,40851,25,259,0
180621,Female,47,1,28,1,1-2 Year,No,31982,29,154,0
40002,Male,73,1,39,1,1-2 Year,Yes,66018,26,90,0
348428,Female,64,1,28,0,> 2 Years,Yes,58734,26,141,0
202325,Male,44,1,28,0,1-2 Year,Yes,2630,124,157,0
200941,Male,39,1,28,0,1-2 Year,Yes,55055,26,189,1
204535,Female,21,1,37,1,< 1 Year,Yes,33665,160,160,0
74487,Male,38,1,28,0,1-2 Year,Yes,35529,124,123,0
233289,Male,27,1,41,1,< 1 Year,No,29670,152,242,0
357649,Female,27,1,33,1,< 1 Year,No,29138,151,296,0
185088,Female,21,1,8,1,< 1 Year,No,37827,160,56,0
207158,Female,27,1,36,1,< 1 Year,No,27645,152,220,0
37571,Male,27,1,41,1,< 1 Year,No,29383,152,59,0
224588,Male,57,1,29,1,1-2 Year,No,25036,26,168,0
236386,Female,22,1,30,1,< 1 Year,No,23699,152,98,0
264209,Female,43,1,18,1,1-2 Year,No,33782,124,62,0
152193,Male,45,1,28,1,1-2 Year,No,32904,124,20,0
366408,Male,28,1,41,0,< 1 Year,Yes,39306,152,56,1
139033,Male,27,1,12,1,< 1 Year,No,2630,152,193,0
305972,Male,78,1,1,0,1-2 Year,Yes,2630,26,168,0
23404,Male,66,1,11,0,1-2 Year,Yes,29265,124,246,0
48809,Male,22,1,46,1,1-2 Year,No,25805,124,11,0
19755,Male,42,1,41,0,1-2 Year,Yes,2630,124,122,0
256177,Female,42,1,36,0,1-2 Year,Yes,36739,157,226,1
191372,Female,22,1,28,0,< 1 Year,Yes,41016,152,81,1
292982,Male,27,1,16,1,< 1 Year,No,26178,152,203,0
164845,Female,44,1,28,0,1-2 Year,Yes,29385,26,40,0
305790,Female,22,1,40,0,< 1 Year,Yes,2630,152,199,1
277923,Female,30,1,50,1,< 1 Year,No,22071,152,101,0
276855,Male,29,1,50,0,1-2 Year,Yes,2630,157,267,0
202046,Male,45,1,28,0,1-2 Year,Yes,29669,13,259,0
47606,Male,25,1,10,1,< 1 Year,No,23732,152,86,0
118765,Male,24,1,30,1,< 1 Year,No,29143,152,38,0
315683,Female,25,1,28,0,< 1 Year,Yes,48176,122,86,0
93772,Male,23,1,8,1,< 1 Year,No,48814,152,295,0
256853,Female,30,1,28,0,< 1 Year,Yes,27291,154,74,0
336804,Male,30,1,28,0,1-2 Year,Yes,26290,124,156,0
292170,Female,71,1,28,0,1-2 Year,Yes,41124,122,244,0
57224,Female,21,1,32,0,< 1 Year,No,32720,160,212,0
73554,Female,26,1,28,1,< 1 Year,No,50361,152,163,0
179159,Male,22,1,28,0,< 1 Year,Yes,43884,152,78,0
92460,Female,35,1,28,0,1-2 Year,Yes,42494,122,208,1
347853,Male,26,1,21,0,< 1 Year,Yes,25333,152,65,0
16738,Male,67,1,28,0,1-2 Year,Yes,30569,26,283,0
273780,Female,57,1,26,0,1-2 Year,Yes,2630,22,83,0
135071,Male,64,1,8,1,1-2 Year,No,46222,7,19,0
290751,Male,31,1,21,1,< 1 Year,No,23888,152,252,0
88952,Female,47,1,28,0,1-2 Year,Yes,43919,61,185,0
140030,Male,38,1,28,0,1-2 Year,Yes,31705,124,269,1
83843,Female,29,1,49,0,< 1 Year,Yes,29439,152,34,0
268199,Male,31,1,3,1,< 1 Year,No,24816,152,245,0
246851,Female,20,1,46,1,< 1 Year,No,40942,160,253,0
271554,Female,47,1,13,0,1-2 Year,Yes,28435,124,247,0
188008,Male,39,1,37,0,1-2 Year,Yes,31529,124,254,0
46001,Male,57,1,35,1,1-2 Year,No,29653,124,195,0
27764,Male,49,1,28,0,1-2 Year,No,2630,26,53,0
354899,Male,23,1,28,1,< 1 Year,No,24345,152,234,0
205383,Female,27,1,3,0,< 1 Year,Yes,35119,152,197,0
64755,Male,51,1,48,1,1-2 Year,No,2630,124,85,0
123472,Female,23,1,46,1,< 1 Year,No,30316,152,18,0
4339,Male,62,1,28,1,1-2 Year,Yes,2630,26,58,0
194686,Male,21,1,26,0,< 1 Year,No,26439,152,178,0
208317,Female,60,1,46,1,1-2 Year,No,55828,11,168,0
160297,Male,43,1,23,0,1-2 Year,Yes,30319,122,21,0
181910,Female,64,1,28,0,1-2 Year,Yes,48281,26,58,0
231864,Male,26,1,8,1,< 1 Year,No,38461,152,33,0
11610,Female,62,1,28,0,1-2 Year,Yes,62685,26,290,0
223093,Male,43,1,28,0,1-2 Year,Yes,25800,124,89,0
55847,Female,58,1,28,1,1-2 Year,No,43587,124,226,0
238628,Male,45,1,28,0,1-2 Year,Yes,41078,124,17,0
54682,Male,58,1,33,0,1-2 Year,Yes,42833,26,270,1
195024,Female,23,1,8,0,< 1 Year,Yes,37824,26,148,1
82404,Male,24,1,8,1,< 1 Year,No,33114,152,258,0
113882,Male,48,1,28,1,1-2 Year,No,30231,60,94,0
333456,Male,65,1,7,1,1-2 Year,No,2630,157,280,0
281118,Female,50,1,28,0,1-2 Year,Yes,39185,13,224,0
81967,Female,26,1,23,1,< 1 Year,No,29806,152,39,0
118528,Female,29,1,28,1,< 1 Year,No,35110,152,136,0
281189,Male,38,1,28,0,> 2 Years,Yes,44889,13,296,0
333867,Male,43,1,46,1,1-2 Year,No,35151,124,87,0
280838,Male,65,1,28,1,1-2 Year,No,40628,122,277,0
224682,Female,26,1,15,0,< 1 Year,No,77390,160,161,0
297719,Female,23,1,35,1,< 1 Year,No,31985,152,241,0
181772,Male,42,1,39,0,1-2 Year,Yes,2630,154,204,1
156081,Female,42,1,28,0,1-2 Year,Yes,21834,124,130,0
9818,Male,33,1,28,0,1-2 Year,No,39362,124,128,0
234113,Female,70,1,41,0,1-2 Year,Yes,52493,124,289,0
143090,Male,72,1,18,0,1-2 Year,Yes,35050,12,108,0
78765,Female,22,1,37,1,< 1 Year,No,34441,160,88,0
141044,Male,71,1,47,0,1-2 Year,Yes,37440,26,261,0
172187,Female,56,1,28,1,1-2 Year,No,2630,26,12,0
33452,Female,49,1,8,1,1-2 Year,Yes,39488,4,251,0
161463,Female,40,1,41,0,1-2 Year,Yes,2630,156,27,0
188731,Male,27,1,49,0,< 1 Year,Yes,2630,156,113,1
182482,Male,34,1,9,0,1-2 Year,Yes,30184,18,297,0
192938,Male,27,1,18,0,< 1 Year,Yes,38974,152,139,0
110083,Male,22,1,8,0,< 1 Year,Yes,26471,152,173,0
35470,Male,54,1,28,0,1-2 Year,No,36419,157,298,0
327431,Female,44,1,50,0,1-2 Year,Yes,23483,18,144,0
323294,Male,23,1,6,0,< 1 Year,No,2630,152,161,0
305003,Female,25,1,2,1,< 1 Year,No,30895,152,245,0
338183,Female,67,1,46,0,> 2 Years,Yes,32456,155,133,1
113814,Female,34,1,28,0,1-2 Year,Yes,2630,124,34,0
276904,Male,31,1,15,0,< 1 Year,No,38304,152,274,0
289038,Female,24,1,23,1,< 1 Year,No,27240,152,43,0
371521,Female,31,1,8,1,1-2 Year,No,2630,156,116,0
69350,Male,68,1,28,0,1-2 Year,Yes,49115,26,178,0
81797,Male,56,1,36,0,1-2 Year,Yes,2630,26,192,0
328287,Male,50,1,39,0,1-2 Year,Yes,29517,124,132,0
277057,Female,38,1,46,0,1-2 Year,Yes,22540,152,170,0
5130,Male,24,1,8,0,< 1 Year,Yes,101069,152,262,0
314601,Female,66,1,7,1,1-2 Year,Yes,35442,156,145,0
199551,Female,21,1,36,1,< 1 Year,Yes,35643,152,220,0
349790,Male,41,1,18,0,1-2 Year,Yes,2630,26,174,1
340276,Male,35,1,31,0,1-2 Year,Yes,2630,154,278,1
156557,Male,24,1,29,1,< 1 Year,No,34129,152,220,0
178924,Female,35,1,30,1,1-2 Year,No,27360,152,73,0
2106,Male,43,1,28,0,> 2 Years,Yes,41201,124,73,1
63364,Female,33,1,14,1,< 1 Year,No,22712,152,160,0
329733,Female,25,1,36,0,< 1 Year,No,31251,152,11,0
63503,Male,61,1,28,0,1-2 Year,Yes,82372,39,114,0
138346,Female,80,1,28,0,> 2 Years,Yes,34213,26,155,0
22217,Male,63,1,28,0,1-2 Year,Yes,41146,147,65,0
22236,Male,25,1,50,1,< 1 Year,No,23187,152,204,0
263918,Female,45,1,28,0,> 2 Years,Yes,52499,124,142,0
54613,Female,22,1,37,0,< 1 Year,Yes,23999,152,271,0
360684,Male,50,1,8,0,1-2 Year,Yes,30605,26,10,0
35773,Male,37,1,6,1,1-2 Year,No,2630,160,133,0
128478,Female,33,1,28,0,1-2 Year,Yes,25363,122,259,0
280732,Male,61,1,10,0,1-2 Year,Yes,2630,26,16,0
352653,Male,48,1,28,1,1-2 Year,No,43592,124,51,0
192683,Male,46,1,28,0,> 2 Years,Yes,28740,124,101,1
289712,Male,41,1,28,0,1-2 Year,Yes,35622,122,245,0
361460,Female,30,1,47,0,< 1 Year,No,44287,152,135,0
23658,Male,23,1,8,1,< 1 Year,No,53870,26,233,0
321514,Female,30,1,47,1,< 1 Year,No,35811,152,108,0
285321,Female,29,1,19,1,< 1 Year,No,36957,152,22,0
307185,Female,56,1,13,0,1-2 Year,Yes,28973,26,65,0
221510,Female,28,1,23,0,< 1 Year,Yes,2630,156,278,0
27752,Female,30,1,38,1,< 1 Year,Yes,35102,124,153,0
266372,Female,21,1,32,0,< 1 Year,Yes,38854,152,102,0
249666,Female,57,1,3,1,1-2 Year,Yes,38947,124,28,0
155683,Male,79,1,28,0,> 2 Years,Yes,52705,26,285,0
141738,Female,38,1,38,0,1-2 Year,Yes,21835,60,115,1
268159,Male,52,1,8,0,1-2 Year,No,37537,124,261,0
155084,Male,23,1,13,1,< 1 Year,No,18442,26,103,0
103390,Male,43,1,8,0,1-2 Year,Yes,40923,124,174,0
68275,Male,47,1,33,0,1-2 Year,No,30540,21,232,0
58077,Male,44,1,28,0,1-2 Year,Yes,44906,26,87,0
169927,Female,63,1,41,1,1-2 Year,No,29320,12,219,0
143665,Male,27,1,50,1,< 1 Year,No,31494,152,228,0
372115,Male,52,1,28,0,1-2 Year,Yes,37163,26,267,0
81417,Female,23,1,8,1,< 1 Year,No,33015,152,29,0
157588,Male,31,1,3,1,1-2 Year,No,28397,154,262,0
379772,Female,73,1,48,0,> 2 Years,Yes,2630,15,194,0
226205,Female,23,1,8,1,< 1 Year,No,27397,152,143,0
245055,Female,22,1,6,1,< 1 Year,No,25999,152,291,0
145019,Male,21,1,37,0,< 1 Year,Yes,21092,160,40,0
168578,Female,44,1,39,1,1-2 Year,No,2630,31,149,0
199582,Female,33,1,50,1,< 1 Year,No,30971,152,155,0
236956,Male,51,1,28,0,1-2 Year,Yes,41960,25,84,0
175147,Male,34,1,31,1,1-2 Year,No,2630,152,244,0
315626,Female,22,1,25,1,< 1 Year,No,22291,152,76,0
269150,Female,49,1,28,0,1-2 Year,Yes,2630,124,234,0
317543,Female,21,1,8,1,< 1 Year,No,37786,160,92,0
122865,Female,22,1,8,0,1-2 Year,No,41492,156,296,0
314595,Male,50,1,28,0,1-2 Year,Yes,88124,26,103,0
354921,Male,21,1,8,0,1-2 Year,Yes,2630,156,270,1
291513,Female,23,1,8,1,< 1 Year,No,45695,152,251,0
24582,Male,23,1,8,1,< 1 Year,No,55607,152,37,0
198144,Female,27,1,50,1,< 1 Year,No,27444,152,129,0
178368,Male,46,1,46,0,1-2 Year,Yes,29637,124,186,0
230041,Male,49,1,33,0,1-2 Year,Yes,2630,156,220,0
215299,Female,32,1,28,0,< 1 Year,Yes,30066,124,46,1
6476,Male,28,1,20,0,< 1 Year,Yes,2630,152,25,0
340835,Male,68,1,28,0,> 2 Years,Yes,34171,124,83,0
150411,Male,41,1,21,1,1-2 Year,No,2630,152,239,0
